ESVId,Field_Control_2,Field_Control_1,Extraction_Blank_1,Extraction_Blank_2,EL_B,EL_M,EL_S,WQ_B,WQ_M,WQ_S,SL_B,SL_M,SL_S,PF_S,PF_B,HK_S,HR_B,BK_B,HR_M,BK_M,BK_S,HR_S,PB_S,RP_B,PB_B,PB_M,RP_S,RP_M
ESV_027310,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027374,0,0,0,0,0,64,11,0,33,123,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027199,0,0,0,0,0,0,0,0,0,8,0,138,25,0,0,0,0,0,0,0,0,0,24,0,0,39,0,0
ESV_027196,0,0,0,0,0,0,18,0,0,0,11,0,81,0,0,0,0,0,0,0,42,0,0,0,0,75,0,0
ESV_027333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027215,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,55,0,0,0,0,0,0,0,63,0,0,0
ESV_027444,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027378,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027136,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,32,0,0,33,0,0,60,0,30,0,0,23
ESV_027316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0
ESV_027152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,91,0
ESV_027363,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0
ESV_027130,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
ESV_027319,0,0,0,0,0,0,0,0,0,77,0,18,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0
ESV_027353,0,0,0,0,0,0,14,0,0,103,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027306,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,16,9,0,0,0,0,0,0,0,0,0,0
ESV_027379,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0
ESV_023844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,54,0,0,0,0,0,0,36,0,0
ESV_027241,0,0,0,0,0,0,0,13,69,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
ESV_027389,0,0,0,0,0,0,0,0,39,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_027155,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0
